,Unnamed: 0,公司名称,注册地址-国家代码,全球行业分类标准（GICS）代码,最新的报表日期,报表模板（3类）,合并报表代码,"总收入
千 CNY
最新可用年份","员工数量
最新可用年份",ISIN索引号,公司简介,主营业务单元情况,主要经营活动,主要产品和服务,国内主要国家,国外主要国家或地区,公司成立日期,公司成立年份
1438,1439.0,Fraser & Neave LTD,SG,30202030.0,2023-09-30,IND,C1,11252022.0676253,13200,SG1T58930911,"This company is engaged in the food and beverage, and publishing and printing businesses in Singapore, Malaysia, Myanmar, Thailand, Vietnam, Indonesia, China, Taiwan, India, Australia, Europe, and the United States. It was founded in 1883 and is headquartered in Singapore.The company is a leading Asia Pacific Consumer Group with expertise and prominent standing in the food and beverage and publishing and printing industries. It produces and sells beverages, including 100PLUS isotonic drinks, F&N NUTRISOY soya milk, F&N sparkling drinks, F&N ICE MOUNTAIN bottled water, F&N NUTRIWELL Asian drinks, F&N SEASONS Asian drinks and fruit teas, F&N FRUIT TREE juice drinks, and F&N cordials. The company also provides dairy products comprising sweetened condensed milk, evaporated milk, pasteurized milk and tea, UHT milk, juices, yoghurt, and ice cream primarily under the F&N MAGNOLIA, F&N, FARMHOUSE, F&N DAISY, F&N FRUIT TREE FRESH, F&N NUTRITEA, F&N aLIVE, KING'S, and MEADOW GOLD brand names. In addition, it engages in the publishing, printing, distribution, and retail of books, trade directories and business information, magazines, home library reference books, and digital platforms; retail of stationery and periodicals; provision of commercial printing and packaging, and digital printing services; and property investment, development, and management activities. Further, the company distributes lifestyle accessories and storage products; offers treasury and financial services, technical application and brand marketing support services, and machine repairing services; operates vending machines; and organizes conventions/conferences. The company is a subsidiary of TCC Assets Limited, which is based in Thailand.","Engaged in the food and beverage, and publishing and printing businesses in Singapore, Malaysia, Myanmar, Thailand, Vietnam, Indonesia, China, Taiwan, India, Australia, Europe, and the United States",Manufacturing; Services,"Beverages; dairy products; publishing and printing (publishing, printing, distribution, and retail of books, trade directories and business information, magazines, home library reference books, and digital platforms; retail of stationery and periodicals; provision of commercial printing and packaging, and digital printing services; and property investment, development, and management activities); Lifestyle accessories and storage products; offers treasury and financial services; technical application and brand marketing support services; machine repairing services; operates vending machines; organizes conventions/conferences",Singapore,Malaysia; Myanmar; Thailand; Vietnam; Indonesia; China; Taiwan; India; Australia; Europe; the United States,1883-01-01,1883.0
2587,2588.0,Straits Trading CO LTD,SG,15104020.0,2023-12-31,IND,C1,2663594.17964536,n.a.,SG1J49001550,"This company is an investment holding company with active interests in tin mining and smelting. This company was incorporated in November 1887, and has its registered head office in Singapore.The company has stakes in real estate, hospitality, resources and investments that span the Asia Pacific region. The company owns an 89.5 percent stake in Straits Real Estate, a co-investment vehicle that seeks out real estate related investments & opportunities globally. It also owns a 20.95 percent stake in ARA Asset Management Limited, one of the largest real estate fund managers in the region and has a 30 percent interest in Far East Hospitality Holdings, an established international hospitality owner and operator. The company also engages in tin mining and smelting through its 54.8 percent-owned subsidiary, Malaysia Smelting Corporation Berhad, that is dual listed on Bursa Malaysia and SGX-ST.",An investment holding company with active interests in tin mining and smelting,Services,Investment holding,Singapore,,1887-01-01,1887.0
5855,5856.0,British & Malayan Holdings Limited,SG,40203010.0,2023-12-31,IND,C1,53361.0906122656,16,SG1DI0000003,"This company is engaged in the management activities of a holding company. It was incorporated in 1924 and has its registered business office located in Singapore, Singapore.The company handles the administrative affairs and services of a holding company and grants management services to its subsidiaries. It also provides financial support and control function for the board. Furthermore, the company is responsible for managing the group and its overall legal structure, tax planning, financial and equity structures. In addition, it is involved in matters of policy, strategic planning, marketing, selecting and manning senior management positions, approving investments and budgets, and the overall ongoing monitoring of the group companies' performance.",Engaged in the management activities of a holding company,Services,Holding company,Singapore,,1924-01-01,1924.0
414,415.0,Oversea-Chinese Banking Corporation Limited Ocbc,SG,40101010.0,2023-12-31,BNK,C2,72790392.1167212,33330,SG1S04926220,"This company is engaged in the provision of financial services. It was formed in 1932 and its registered business office is located in Singapore, Singapore. The bank operates through four segments, namely: consumer banking, business banking, treasury, and insurance. The consumer banking segment provides a range of products and services to individuals, including checking accounts, and savings and fixed deposits; consumer loans, such as housing loans, car loans, and other personal loans; credit and debit cards; wealth management products consisting of unit trusts, bancassurance products, and structured deposits; and brokerage services. The business banking segment provides project financing, overdrafts, trade financing, and deposit accounts; fee-based services, such as cash management and custodian services; and investment banking services. The treasury segment is involved in foreign exchange activities, money market operations, fixed income and derivatives trading, and Insurance, which includes OCBC Bank's fund management activities. The company's Insurance segment provides fund management services, and life and general insurance products.",Engaged in the provision of financial services,Services,"Financial services (consumer banking, business banking, treasury, and insurance)",Singapore,,1932-10-31,1932.0
3605,3606.0,Stamford Land Corporation LTD,SG,25301020.0,2023-09-30,IND,C1,785617.670535891,709,SG1I47882655,"This company, formerly known as Hai Sun Hup Group Ltd., is engaged in the management activities of a holding company. It was incorporated in 1935. The registered business office of the company is located in Singapore, Singapore.The company assumes management services to its subsidiaries and local group and units. It also provides other business and support activities and miscellaneous financial investment services such as matters of policy, strategic planning, marketing, approving investments and budgets, financing and the overall ongoing monitoring of the group companies' performance. In addition, the company provides assistance and consultancy services its subsidiaries.This holding company is active and operational, together with its subsidiaries, in Singapore, Virgin Islands (British), New Zealand, and Australia.Sir Stamford Hotels & Resorts Pte Ltd., one of the company's listed subsidiaries, is involved in the management and operation of hotels.",Engaged in the management activities of a holding company,Services,Management activities of a holding company,Singapore,Virgin Islands (British); New Zealand; Australia,1935-01-01,1935.0
400,401.0,United Overseas Bank Limited - UOB,SG,40101010.0,2023-12-31,BNK,C2,75477503.9424054,32338,SG1M31001969,"This company is engaged in the operation of financial institutions. It was founded in 1935 by Datuk Wee Kheng Chiang, Mr. Wee Cho Yaw, and a group of seven Chinese businessmen. The company is headquartered in Singapore City, Singapore.It provides a wide range of financial services, such as private banking, personal financial services, trust services, commercial and corporate banking, corporate finance, investment banking, capital market activities, treasury services, asset management, venture capital management, general insurance, and life assurance services. It also has interests in travel, leasing, property development and management, hotel operations and general trading.The company aims to be a premier bank in the Asia-Pacific region; and to provide quality products and excellent customer service.",Engaged in the operation of financial institutions,Services,"Financial institutions (private banking, personal financial services, trust services, commercial and corporate banking, corporate finance, investment banking, capital market activities, treasury services, asset management, venture capital management, general insurance, and life assurance services; and travel, leasing, property development and management, hotel operations and general trading)",Singapore,,1935-01-01,1935.0
1618,1619.0,BRC Asia LTD,SG,20102010.0,2023-09-30,IND,C1,8740358.39540077,751,SG1BG3000008,"This company is engaged in the prefabrication of steel reinforcement for use in concrete. It was incorporated 1938 as the Malayan Wire Mesh & Fencing Co Ltd. It has its registered business office in Singapore, Singapore with operations in Singapore, Malaysia and China.The company is the leading steel reinforcing solution provider in Singapore and has three factories in Singapore with a total land area of approximately 55,000 square meters. It offers reinforcement bars; wires or mild steel round bars for construction and industrial applications; welded wire mesh; cages for columns and beams; prefab bored piles, pilecaps, stumps, columns, beams, walls, and staircase shelter walls; and weldfence, as well as rebar cut and bend services. It is also involved in the trade of steel reinforcing bars; and manufacture and sale of wire mesh fences. In addition, it is an ISO9002 certified company.",Engaged in the prefabrication of steel reinforcement for use in concrete,Manufacturing,Reinforcement bars; wires or mild steel round bars for construction and industrial applications; welded wire mesh; cages for columns and beams; prefab bored piles; pilecaps; stumps; columns; beams; walls and staircase shelter walls; weldfence; rebar cut and bend services,Singapore,Malaysia; China,1938-12-14,1938.0
4181,4182.0,Brook Crompton Holdings LTD,SG,20107010.0,2023-12-31,IND,C1,393835.244516014,n.a.,SG1AI8000001,"Formerly known as Lindeteves-Jacoberg Limited, this company operates as an investment holding company specialised in the distribution of electric motors. It was incorporated in 1947 and has its corporate headquarters in Singapore, Singapore.The company offers driving fans, pumps, compressors, conveyors, and other products under the Brook Crompton brand. It serves marine, mining, oil and gas, heating, ventilation, and air conditioning sectors in Singapore, the Asia-Pacific, the United Kingdom, North America, Europe, the Middle East, and internationally. Its major shareholders include ATB Group Austria and Wolong Electric Group Co PRC, which are manufacturers of electric motors.",Operates as an investment holding company specialised in the distribution of electric motors,Wholesale,"Electric motors (driving fans, pumps, compressors, conveyors, and other products)",Singapore,,1947-01-01,1947.0
5179,5180.0,Singapura Finance LTD,SG,40202010.0,2023-12-31,BNK,C2,123867.187061381,n.a.,SG1M01001924,"This company is engaged in the provision of a wide range of financial services in Singapore. It was incorporated in 1969 as Singapura Building Society Ltd. and was renamed as Singapura Finance Ltd. In June of 2002. Its registered business address located in Singapore, Singapore. The company accepts various deposit products, including savings accounts, call deposits, fixed deposits, and safe deposit boxes as well as various financing products and services for commercial and industrial properties, property developments, shares, vessels, hire purchase of vehicles and equipment, and factoring. The company also provides nominee services, and real estate agency and management services.",Engaged in the provision of a wide range of financial services in Singapore,Services,Provision of a wide range of financial services in Singapore,Singapore,,1950-01-01,1950.0
2878,2879.0,YEO Hiap Seng LTD,SG,30202030.0,2023-12-31,IND,C1,1851582.5748214,n.a.,SG1I10878425,"This company is an investment holding company for subsidiaries engaged in the manufacture, sale, distribution, and export of beverages, sauces, and canned food. It was established in 1935 and has its registered office in Singapore, Singapore.Through its subsidiaries, the company offers food products, instant noodles and vermicelli, sauces, culinary pastes, condiments, canned curries, spreads, canned and jar foods, and food recipes, as well as non-alcoholic beverages, Asian drinks, ready-to-drink teas, soy drinks, juice drinks, drink recipes, isotonic drinks, and vitaminised water. It also provides vending services; and involves in property development, property holding, and ownership and leasing of fixed assets. The company operates primarily in Singapore, Malaysia, the People's Republic of China, Hong Kong, and North America.","Investment holding company for subsidiaries engaged in the manufacture, sale, distribution, and export of beverages, sauces, and canned food",Manufacturing; Wholesale,"Beverages, sauces, and canned food",Singapore,Malaysia; the People's Republic of China; Hong Kong; and North America,1955-01-01,1955.0
